built_age,current_energy_efficiency,environment_impact_current,energy_consumption_current,co2_emissions_current,lighting_cost_current,heating_cost_current,hot_water_cost_current
Pre-30s,57.0,51.0,356.0,4.1,59.0,704.0,87.0
Pre-30s,68.0,66.0,267.0,2.9,56.0,521.0,64.0
Post-30s,72.0,70.0,227.0,3.0,67.0,524.0,76.0
Pre-30s,61.0,55.0,315.0,4.4,82.0,754.0,92.0
Post-30s,72.0,65.0,191.0,7.4,152.0,1253.0,75.0
Pre-30s,68.0,63.0,257.0,5.3,84.0,966.0,118.0
Pre-30s,50.0,42.0,489.0,6.9,67.0,1141.0,86.0
Pre-30s,44.0,42.0,421.0,8.1,158.0,1576.0,82.0
Post-30s,52.0,43.0,376.0,7.5,137.0,2498.0,189.0
Pre-30s,61.0,52.0,285.0,7.4,141.0,1241.0,101.0
Post-30s,59.0,55.0,313.0,4.5,109.0,1626.0,188.0
Pre-30s,57.0,50.0,385.0,6.1,143.0,2051.0,185.0
Pre-30s,32.0,26.0,608.0,8.1,103.0,2470.0,445.0
Post-30s,73.0,70.0,207.0,3.7,129.0,1178.0,192.0
Pre-30s,65.0,63.0,286.0,3.2,165.0,969.0,169.0
Post-30s,70.0,73.0,204.0,2.7,107.0,959.0,575.0
Pre-30s,15.0,24.0,693.0,9.1,178.0,3823.0,713.0
Post-30s,57.0,50.0,333.0,4.5,103.0,1477.0,160.0
Pre-30s,59.0,57.0,334.0,5.5,130.0,2034.0,294.0
Post-30s,76.0,74.0,135.0,3.5,118.0,614.0,83.0
Post-30s,72.0,68.0,201.0,3.9,81.0,725.0,93.0
Pre-30s,41.0,37.0,413.0,8.5,141.0,2864.0,500.0
Post-30s,66.0,65.0,249.0,3.3,122.0,1138.0,187.0
Pre-30s,56.0,47.0,381.0,7.7,135.0,2646.0,207.0
Pre-30s,58.0,51.0,392.0,5.1,100.0,1648.0,205.0
Pre-30s,57.0,52.0,396.0,4.2,107.0,1402.0,182.0
Post-30s,63.0,59.0,294.0,3.7,120.0,1208.0,183.0
Pre-30s,69.0,63.0,222.0,5.6,158.0,1813.0,193.0
Pre-30s,31.0,33.0,611.0,5.2,99.0,1321.0,965.0
Post-30s,76.0,75.0,181.0,3.1,132.0,984.0,138.0
Post-30s,62.0,43.0,435.0,6.3,133.0,1670.0,440.0
Pre-30s,59.0,52.0,382.0,5.5,109.0,1856.0,156.0
Post-30s,67.0,65.0,242.0,3.6,114.0,1279.0,193.0
Pre-30s,61.0,56.0,332.0,3.3,80.0,1080.0,159.0
Pre-30s,9.0,15.0,650.0,28.0,494.0,12084.0,1116.0
Post-30s,73.0,70.0,170.0,3.4,170.0,1078.0,162.0
Pre-30s,43.0,48.0,539.0,3.9,62.0,1763.0,133.0
Pre-30s,65.0,60.0,275.0,3.9,108.0,1261.0,174.0
Pre-30s,56.0,48.0,375.0,5.6,110.0,1884.0,196.0
Pre-30s,81.0,73.0,169.0,3.7,187.0,1779.0,203.0
